id_venda,id_data,id_posto,id_func,id_comb,qtd_lts,valor_venda,id_registro,id_comb,id_data,nome_comb,tipo_comb,custo_comb,revenda_comb
35527,366,1,11354,6,758.4,4977.00,22839,6,1064,"Ipimax Diesel S10 Aditivado",Aditivado,5.76,7.2
35527,366,1,11354,6,758.4,4977.00,22832,6,1063,"Ipimax Diesel S10 Aditivado",Aditivado,5.76,7.2
35527,366,1,11354,6,758.4,4977.00,22825,6,1062,"Ipimax Diesel S10 Aditivado",Aditivado,5.76,7.2
35527,366,1,11354,6,758.4,4977.00,22818,6,1061,"Ipimax Diesel S10 Aditivado",Aditivado,5.76,7.2
35527,366,1,11354,6,758.4,4977.00,22811,6,1060,"Ipimax Diesel S10 Aditivado",Aditivado,5.76,7.2
35527,366,1,11354,6,758.4,4977.00,22804,6,1059,"Ipimax Diesel S10 Aditivado",Aditivado,5.76,7.2
35527,366,1,11354,6,758.4,4977.00,22797,6,1058,"Ipimax Diesel S10 Aditivado",Aditivado,5.76,7.2
35527,366,1,11354,6,758.4,4977.00,22790,6,1057,"Ipimax Diesel S10 Aditivado",Aditivado,5.76,7.2
35527,366,1,11354,6,758.4,4977.00,22783,6,1056,"Ipimax Diesel S10 Aditivado",Aditivado,5.76,7.2
35527,366,1,11354,6,758.4,4977.00,22776,6,1055,"Ipimax Diesel S10 Aditivado",Aditivado,5.76,7.2
35527,366,1,11354,6,758.4,4977.00,22769,6,1054,"Ipimax Diesel S10 Aditivado",Aditivado,5.76,7.2
35527,366,1,11354,6,758.4,4977.00,22762,6,1053,"Ipimax Diesel S10 Aditivado",Aditivado,5.76,7.2
35527,366,1,11354,6,758.4,4977.00,22755,6,1052,"Ipimax Diesel S10 Aditivado",Aditivado,5.76,7.2
35527,366,1,11354,6,758.4,4977.00,22748,6,1051,"Ipimax Diesel S10 Aditivado",Aditivado,5.76,7.2
35527,366,1,11354,6,758.4,4977.00,22741,6,1050,"Ipimax Diesel S10 Aditivado",Aditivado,5.76,7.2
35527,366,1,11354,6,758.4,4977.00,22734,6,1049,"Ipimax Diesel S10 Aditivado",Aditivado,5.76,7.2
35527,366,1,11354,6,758.4,4977.00,22727,6,1048,"Ipimax Diesel S10 Aditivado",Aditivado,5.76,7.2
35527,366,1,11354,6,758.4,4977.00,22720,6,1047,"Ipimax Diesel S10 Aditivado",Aditivado,5.76,7.2
35527,366,1,11354,6,758.4,4977.00,22713,6,1046,"Ipimax Diesel S10 Aditivado",Aditivado,5.76,7.2
35527,366,1,11354,6,758.4,4977.00,22706,6,1045,"Ipimax Diesel S10 Aditivado",Aditivado,5.76,7.2
35527,366,1,11354,6,758.4,4977.00,22699,6,1044,"Ipimax Diesel S10 Aditivado",Aditivado,5.76,7.2
35527,366,1,11354,6,758.4,4977.00,22692,6,1043,"Ipimax Diesel S10 Aditivado",Aditivado,5.76,7.2
35527,366,1,11354,6,758.4,4977.00,22685,6,1042,"Ipimax Diesel S10 Aditivado",Aditivado,5.76,7.2
35527,366,1,11354,6,758.4,4977.00,22678,6,1041,"Ipimax Diesel S10 Aditivado",Aditivado,5.76,7.2
